"Precinct_name","Split_name","Reporting_flag","Update_count","Pct_Id","Pct_seq_nbr","Reg_voters","Turn_Out","Contest_Id","Contest_seq_nbr","Contest_title","Contest_party_name","Selectable_Options","candidate_id","candidate_name","Candidate_Type","cand_seq_nbr","Party_Code","total_ballots","total_votes","total_under_votes","total_over_votes","absentee_ballots","absentee_votes","absentee_under_votes","absentee_over_votes","early_ballots","early_votes","early_under_votes","early_over_votes","election_ballots","election_votes","election_under_votes","election_over_votes"
"102","A",1,53,1,1,1143,0.01,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,40,"Cliff Styles","C",1,"",7,3,0,0,0,0,0,0,3,0,0,0,4,3,0,0
"102","A",1,53,1,1,1143,0.01,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,41,"Matt Robertson","C",2,"",7,3,0,0,0,0,0,0,3,2,0,0,4,1,0,0
"102","A",1,53,1,1,1143,0.01,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,42,"Larry D. Bradley","C",3,"",7,1,0,0,0,0,0,0,3,1,0,0,4,0,0,0
"102","A",1,53,1,1,1143,0.01,30,35,"PLACE 7, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,43,"Rob Reyes","C",1,"",7,6,1,0,0,0,0,0,3,3,0,0,4,3,1,0
"102","A",1,53,1,1,1143,0.01,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,44,"Charlie Torres","C",1,"",7,5,0,0,0,0,0,0,3,2,0,0,4,3,0,0
"102","A",1,53,1,1,1143,0.01,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,45,"Tony Hanson","C",2,"",7,2,0,0,0,0,0,0,3,1,0,0,4,1,0,0
"102","A",1,53,1,1,1143,0.01,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,46,"Jacob E. Betz","C",3,"",7,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0
"105","A",1,52,2,2,51,0.08,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,40,"Cliff Styles","C",1,"",4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"105","A",1,52,2,2,51,0.08,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,41,"Matt Robertson","C",2,"",4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"105","A",1,52,2,2,51,0.08,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,42,"Larry D. Bradley","C",3,"",4,4,0,0,0,0,0,0,2,2,0,0,2,2,0,0
"105","A",1,52,2,2,51,0.08,30,35,"PLACE 7, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,43,"Rob Reyes","C",1,"",4,4,0,0,0,0,0,0,2,2,0,0,2,2,0,0
"105","A",1,52,2,2,51,0.08,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,44,"Charlie Torres","C",1,"",4,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0
"105","A",1,52,2,2,51,0.08,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,45,"Tony Hanson","C",2,"",4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"105","A",1,52,2,2,51,0.08,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,46,"Jacob E. Betz","C",3,"",4,3,0,0,0,0,0,0,2,1,0,0,2,2,0,0
"106","A",1,52,3,3,174,0.01,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,40,"Cliff Styles","C",1,"",2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
"106","A",1,52,3,3,174,0.01,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,41,"Matt Robertson","C",2,"",2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
"106","A",1,52,3,3,174,0.01,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,42,"Larry D. Bradley","C",3,"",2,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0
"106","A",1,52,3,3,174,0.01,30,35,"PLACE 7, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,43,"Rob Reyes","C",1,"",2,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0
"106","A",1,52,3,3,174,0.01,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,44,"Charlie Torres","C",1,"",2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"106","A",1,52,3,3,174,0.01,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,45,"Tony Hanson","C",2,"",2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"106","A",1,52,3,3,174,0.01,32,37,"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","",1,46,"Jacob E. Betz","C",3,"",2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"107","A",1,51,4,4,121,0.02,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,40,"Cliff Styles","C",1,"",2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"107","A",1,51,4,4,121,0.02,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,41,"Matt Robertson","C",2,"",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"107","A",1,51,4,4,121,0.02,29,34,"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,42,"Larry D. Bradley","C",3,"",2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"107","A",1,51,4,4,121,0.02,30,35,"PLACE 7, BOARD OF TRUSTEES, PFLUGERVILLE ISD","",1,43,"Rob Reyes","C",1,"",2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0
