"Precinct_name","Contest_title","candidate_name","Party_Code","total_votes"
"102","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Charlie Torres","","5"
"102","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Jacob E. Betz","","0"
"102","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Tony Hanson","","2"
"102","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Cliff Styles","","3"
"102","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Larry D. Bradley","","1"
"102","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Matt Robertson","","3"
"105","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Charlie Torres","","1"
"105","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Jacob E. Betz","","3"
"105","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Tony Hanson","","0"
"105","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Cliff Styles","","0"
"105","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Larry D. Bradley","","4"
"105","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Matt Robertson","","0"
"106","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Charlie Torres","","1"
"106","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Jacob E. Betz","","1"
"106","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Tony Hanson","","0"
"106","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Cliff Styles","","0"
"106","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Larry D. Bradley","","1"
"106","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Matt Robertson","","0"
"107","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Charlie Torres","","1"
"107","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Jacob E. Betz","","0"
"107","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Tony Hanson","","1"
"107","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Cliff Styles","","1"
"107","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Larry D. Bradley","","1"
"107","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Matt Robertson","","0"
"108","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Charlie Torres","","5"
"108","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Jacob E. Betz","","0"
"108","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Tony Hanson","","3"
"108","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Cliff Styles","","2"
"108","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Larry D. Bradley","","1"
"108","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Matt Robertson","","6"
"109","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Charlie Torres","","7"
"109","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Jacob E. Betz","","2"
"109","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Tony Hanson","","4"
"109","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Cliff Styles","","3"
"109","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Larry D. Bradley","","4"
"109","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Matt Robertson","","6"
"110","MAYOR, CITY OF ROUND ROCK","Craig Morgan","","0"
"110","MAYOR, CITY OF ROUND ROCK","Hilda Montgomery","","0"
"110","MAYOR, CITY OF ROUND ROCK","Josh Couture","","0"
"110","PLACE 1, COUNCIL, CITY OF ROUND ROCK","Hollis Bone","","0"
"110","PLACE 1, COUNCIL, CITY OF ROUND ROCK","Matthew James Carothers","","0"
"110","PLACE 1, COUNCIL, CITY OF ROUND ROCK","Tammy Young","","0"
"110","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Charlie Torres","","68"
"110","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Jacob E. Betz","","26"
"110","PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD","Tony Hanson","","62"
"110","PLACE 4, COUNCIL, CITY OF ROUND ROCK","Tracie Storie","","0"
"110","PLACE 4, COUNCIL, CITY OF ROUND ROCK","Will Peckham","","0"
"110","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Cliff Styles","","30"
"110","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Larry D. Bradley","","52"
"110","PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD","Matt Robertson","","62"
"110","PROPOSITION 1, CITY OF ROUND ROCK","Against","","0"
"110","PROPOSITION 1, CITY OF ROUND ROCK","For","","0"
"110","PROPOSITION 2, CITY OF ROUND ROCK","Against","","0"
