"Contest_title"
"PLACE 6, BOARD OF TRUSTEES, PFLUGERVILLE ISD"
"PLACE 2, BOARD OF TRUSTEES, UNEXPIRED TERM, PFLUGERVILLE ISD"
"MAYOR, CITY OF ROUND ROCK"
"PLACE 1, COUNCIL, CITY OF ROUND ROCK"
"PLACE 4, COUNCIL, CITY OF ROUND ROCK"
"PROPOSITION 1, CITY OF ROUND ROCK"
"PROPOSITION 2, CITY OF ROUND ROCK"
"PROPOSITION 3, CITY OF ROUND ROCK"
"PROPOSITION 4, CITY OF ROUND ROCK"
"PROPOSITION NO. 1, ROUND ROCK ISD"
"PROPOSITION NO. 2, ROUND ROCK ISD"
"PROPOSITION NO. 3, ROUND ROCK ISD"
"PERMANENT DIRECTORS, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 23"
"PROP. 1, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 23"
"PROP. 2, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 23"
"PROP. 3, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 23"
"PROP. 4, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 23"
"PROP. 5, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 23"
"PROP. 6, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 23"
"PERMANENT DIRECTORS, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 24"
"PROP. 1, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 24"
"PROP. 2, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 24"
"PROP. 3, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 24"
"PROP. 4, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 24"
"PROP. 5, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 24"
"PROP. 6, TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 24"
"PROP. 1, TRAVIS COUNTY EMERGENCY SERVICES DISTRICT NO. 9"
"PROPOSITION NO. 1, TRAVIS COUNTY EMERGENCY SERVICES DISTRICT NO. 14"
"COUNCILMEMBERS, CITY OF LAKEWAY"
"PROP. 1, CITY OF LAKEWAY"
"PROP. 2, CITY OF LAKEWAY"
"COUNCIL MEMBER, CITY OF BEE CAVE"
"PROPOSITION, CITY OF BEE CAVE"
"PLACE 3, CITY COUNCIL, CITY OF WEST LAKE HILLS"
"PLACE 3, COUNCIL, CITY OF CEDAR PARK"
"PLACE 5, COUNCIL, CITY OF CEDAR PARK"
"PROPOSITON, TRAVIS COUNTY EMERGENCY SERVICES DISTRICT NO. 15"
